"text"|"count_0_to_1_million"|"count_0_to_5_million"|"count_0_to_10_million"|"count_10_million"
"[{""iso_3166_1"": ""US"",""name"": ""United States of America""}]"|"8221"|"322"|"266"|"2422"
"[{""iso_3166_1"": ""GB"",""name"": ""United Kingdom""},{""iso_3166_1"": ""US"",""name"": ""United States of America""}]"|"237"|"20"|"14"|"135"
"[{""iso_3166_1"": ""DE"",""name"": ""Germany""},{""iso_3166_1"": ""US"",""name"": ""United States of America""}]"|"77"|"3"|"8"|"78"
"[{""iso_3166_1"": ""GB"",""name"": ""United Kingdom""}]"|"1138"|"32"|"13"|"56"
"[{""iso_3166_1"": ""CA"",""name"": ""Canada""},{""iso_3166_1"": ""US"",""name"": ""United States of America""}]"|"142"|"4"|"5"|"54"
"[{""iso_3166_1"": ""AU"",""name"": ""Australia""},{""iso_3166_1"": ""US"",""name"": ""United States of America""}]"|"21"|"0"|"4"|"37"
"[{""iso_3166_1"": ""FR"",""name"": ""France""}]"|"829"|"11"|"5"|"35"
"[{""iso_3166_1"": ""FR"",""name"": ""France""},{""iso_3166_1"": ""US"",""name"": ""United States of America""}]"|"56"|"4"|"2"|"32"
"[{""iso_3166_1"": ""JP"",""name"": ""Japan""}]"|"580"|"4"|"3"|"30"
"[{""iso_3166_1"": ""IN"",""name"": ""India""}]"|"122"|"5"|"7"|"21"
