username,movieid1,movieid2,rating
admin@admin.com,858,2426,2
user1,1704,929940,2
user1,4306,795259,13
user1,33794,605078,6
user1,36086,895966,3
user1,45722,1157856,14
user1,56367,53161,1
user1,73017,1483733,9
user1,112640,1745241,6
user10,356,372279,5
user10,480,895700,5
user10,3578,954463,3
user10,4993,1055996,14
user10,44191,339812,3
user10,54503,1191597,12
user10,63082,1053987,14
user10,87520,1375247,6
user10,88125,1080238,7
user10,91529,1153708,10
user10,96079,1298638,4
user10,106696,1327202,12
user10,109487,1410901,15
user10,110102,2265623,20
user11,527,626945,16
user11,1240,974847,13
user11,7153,1122859,15
user11,36086,895966,10
user11,44191,1399823,7
user11,45722,1157856,14
user11,63082,1159526,1
user11,68954,208852,3
user11,72998,1303635,7
user11,78499,912520,17
user11,86880,1209089,12
user11,88125,1170761,9
user11,89745,1969027,26
user11,91529,1250318,17
user11,102125,2043549,22
user11,106696,1435345,19
user11,112594,1757552,4
user12,47,667341,1
user12,1721,1133613,1
user12,2959,772197,3
user12,6377,698494,11
user12,7153,1092302,13
user12,78499,840524,11
user12,79132,1185313,0
user12,87520,1375247,3
user12,98809,1236433,9
user12,99114,1253413,0
user12,101301,1358346,1
user12,102125,2223039,11
user12,103042,1144377,14
user12,106696,1327202,11
user12,108548,1375414,0
user12,109487,1410901,3
user13,318,565714,1
user13,364,412548,8
user13,480,325501,6
user13,1721,516604,1
user13,1917,527476,4
user13,2028,410364,5
user13,4995,302610,0
user13,5349,593315,9
user13,5989,192332,2
user13,7361,421527,2
user13,53125,486662,7
user13,54286,428201,6
user13,58047,551039,4
user13,64957,431439,1
user13,68358,683798,7
user13,68954,317854,5
user13,69122,569738,4
user13,70286,616709,5
user13,72998,633079,3
user13,74789,550462,3
user13,76093,524289,6
user13,79132,475638,2
user13,81845,578706,1
user13,87520,683746,5
user13,88125,432191,9
user13,89745,1224729,12
user13,95441,796953,4
user13,96079,720618,2
user13,97921,351979,3
user13,106696,553055,5
user14,1,686471,9
user14,586,975237,4
user14,1036,1069819,7
user14,1721,1133613,4
user14,5816,1048615,14
user14,5952,1065221,14
user14,6377,705647,18
user14,27163,1017201,8
user14,30793,654986,6
user14,58559,1096380,7
user14,69644,803965,16
user14,70769,1184993,4
user14,72378,1231061,6
user14,74458,951674,3
user14,91500,1392854,5
user14,104841,588262,3
user14,105084,1306578,3
user14,106696,1435345,13
user14,110102,2299821,19
user2,364,706002,16
user2,2116,704196,8
user2,4886,787307,15
user2,4993,1058955,18
user2,5816,1048615,17
user2,6377,705647,14
user2,49272,1237591,10
user2,56174,1208798,6
user2,63082,1159526,3
user2,68954,87446,2
user2,73017,1483733,9
user2,78499,912520,17
user2,87222,1397486,11
user2,88125,470405,5
user2,100498,1381862,11
user2,101142,1012344,12
user2,103335,1319485,11
user2,106487,1316393,12
user2,106696,1328858,14
user2,107707,1391037,6
user2,112640,1745241,6
user2,121115,1493196,10
user3,318,266867,10
user3,1193,477996,7
user3,1206,331208,7
user3,1704,520538,14
user3,5445,262582,6
user3,5952,832281,16
user3,49272,814764,6
user3,59315,905576,9
user3,68157,917426,12
user3,72998,998089,6
user3,88125,849774,8
user4,4995,533981,4
user4,5445,589272,8
user4,5952,1043762,11
user4,7153,447446,10
user4,33794,605078,12
user4,45447,813642,8
user4,54286,961867,16
user4,60069,841799,8
user4,72998,1303635,11
user4,78772,1666502,15
user4,91630,1333545,11
user4,94663,849313,6
user4,103042,1144377,8
user4,111364,1217188,8
user5,110,744256,3
user5,1240,1000110,15
user5,1721,1133613,6
user5,2329,395887,16
user5,2762,682999,14
user5,4022,828887,0
user5,4993,1055996,15
user5,6016,684791,2
user5,6377,705647,14
user5,41569,776310,3
user5,58559,1096380,11
user5,72998,1303635,14
user5,81591,1301844,11
user5,84374,1529466,7
user5,86644,1490256,9
user5,97938,1291001,6
user5,106487,1316393,6
user6,593,531504,14
user6,1089,250030,15
user6,1203,201845,27
user6,2571,991414,21
user6,2762,527700,16
user6,4878,520436,15
user6,7318,681670,16
user6,44191,1074728,13
user6,45722,826446,16
user6,50872,365709,18
user6,52722,655182,17
user6,55820,1138318,16
user6,68954,453744,12
user6,69122,1062463,20
user6,69644,586265,15
user6,72998,1143023,13
user6,79132,805219,9
user6,99114,949967,11
user6,103335,1208962,29
user6,106782,782248,15
user6,111659,1152053,18
user7,858,643065,5
user7,1270,775713,7
user7,1721,1133613,2
user7,2628,23513,7
user7,4226,768816,6
user7,44191,1420034,6
user7,51662,1034883,9
user7,60069,841799,7
user7,63082,1053987,1
user7,69122,1167456,5
user7,72998,1224503,7
user7,73106,1314390,8
user7,74458,1012509,4
user7,79132,1185313,6
user7,81834,1339270,8
user7,88125,1170761,13
user7,89745,2152085,20
user7,92259,1280644,4
user7,94777,1285403,7
user7,96079,1390167,6
user7,98809,1351730,15
user7,110655,1079775,14
user7,111921,1312835,8
user7,112852,1752698,15
user8,364,706002,11
user8,1721,1133613,3
user8,5349,743472,6
user8,6377,709825,10
user8,7153,903504,13
user8,49286,586019,4
user8,68954,753292,21
user8,81847,1464001,15
user8,96079,1390167,6
user8,106489,1459990,14
user8,106696,1435345,14
user8,108548,1375414,8
user9,318,391525,10
user9,364,732071,15
user9,2617,504145,5
user9,4232,953376,3
user9,4886,800061,16
user9,4896,711713,14
user9,5952,1062970,21
user9,6535,719458,8
user9,6586,927939,14
user9,8643,666136,7
user9,54286,617763,9
user9,63082,666831,3
user9,93510,1478842,7
user9,97938,975319,4
user9,106696,1249215,14
user9,111362,1115551,16
