,movieid,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1
0,2589,8705,25890,3045,109177,7220,6546,3259,79929,50641,1216,88672,5802,6012,88065,5966,80820,97823,117752,129348,2092
1,2590,83920,86785,91805,57418,80779,7625,106336,131122,1721,6346,630,83232,5518,91216,93939,131070,127640,63992,88991,91223
2,2593,6546,5040,88672,5710,1216,6012,131027,599,77240,5094,86815,367,69195,3199,77682,50641,93723,470,7222,8933
3,2594,106214,4975,90866,86442,7621,8812,80825,841,6580,6074,67878,82322,96302,78,98378,482,89126,49183,114945,110627
4,2596,59447,57041,62155,128305,62912,106214,26707,1895,84557,57147,1874,86181,130508,6028,2331,127001,62081,89883,64900,83264
5,2598,1216,8693,5802,71878,83264,126560,79929,84557,87761,88672,5985,52279,76238,6546,88065,108156,1854,2331,3711,3494
6,2599,82641,45517,95875,99539,626,4631,5161,1006,117358,273,114678,92643,108156,1118,8679,53406,3857,7340,5945,8748
7,2600,93709,185,86513,107897,1495,7001,3837,4456,120420,98523,7846,131070,3889,26724,1377,90405,104561,98239,61401,68791
8,2605,626,131122,130066,119303,58452,129784,86785,95705,4390,82703,86815,81788,7340,96069,53133,57504,4764,564,8741,762
9,2606,2149,117572,86785,91805,117586,109359,97971,91112,4579,99539,6202,126184,1841,121432,939,115556,128249,72698,119563,102376
10,2607,127001,101590,96821,111667,50589,5721,1216,46634,89570,80924,73117,83457,7375,94839,26346,2348,8963,539,5465,4736
11,2609,77682,116539,5221,119440,26063,121300,1117,69429,83468,6571,98400,65603,3590,2006,77353,26010,73117,95875,86815,101952
12,2611,5904,112640,66857,82641,4631,84775,81138,630,131122,1006,2711,102880,91231,60411,50245,97823,2276,80779,73117,83337
13,2612,97823,26346,230,117586,58452,130066,2906,113073,95705,3857,96401,93914,114453,5518,86785,4469,110348,4764,98217,422
14,2613,7846,83158,1580,6882,97988,57041,64900,72378,113557,86068,74095,92106,3837,2713,90603,103249,124857,90598,52956,106866
15,2614,7163,5837,92420,96631,104431,109713,26492,128215,95748,4985,6774,99014,56174,109649,8985,2613,7724,45981,107232,1255
16,2615,5672,77896,92106,83777,113071,4990,4822,85261,57041,2,2709,46948,2717,91795,115941,62956,99317,3388,47264,5256
17,2616,88028,96227,6318,107344,60941,112640,2123,7204,78097,129435,70128,117478,7229,76238,86880,81398,6560,124253,78557,50923
18,2617,95875,6889,588,1591,65682,79139,2687,1566,4016,111659,87430,2123,4270,2916,130508,110553,85770,5182,1907,52722
19,2618,116539,106214,84557,117855,87761,6272,95967,3045,101952,201,96337,232,105040,96530,84880,119440,121929,89848,26707,53554
20,2621,93674,60827,88382,86815,5802,84557,86785,2943,5040,2203,117752,58898,83345,44255,102796,101952,77682,444,50641,72587
21,2622,104226,85175,89545,74450,95199,8757,64900,73881,131122,3028,5106,96405,5802,3668,5221,915,77421,91805,3719,6266
22,2624,73114,8812,99539,109066,2297,98607,1475,90561,82703,71438,121451,116441,5538,131070,6857,107232,83424,8530,58898,47028
23,2625,99758,129814,95875,3770,69821,101989,92096,76238,74886,84238,106785,1170,4441,74342,4783,89774,99014,6559,130578,58452
