,movieid,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1
0,16,66440.0,8536.0,1630.0,130642.0,6589.0,8411.0,8627.0,6766.0,130490.0,1781.0,3541.0,2484.0,7140.0,5950.0,129285.0,3856.0,3297.0,3383.0,3191.0,128952.0
1,15,69873.0,4910.0,1915.0,129445.0,2584.0,4365.0,3455.0,4173.0,129397.0,1787.0,2592.0,1577.0,2601.0,1782.0,128167.0,2895.0,2438.0,1819.0,825.0,128952.0
2,18,130746.0,6342.0,6069.0,128723.0,5261.0,5758.0,5536.0,3332.0,129032.0,1815.0,3297.0,4891.0,3383.0,4455.0,975.0,2698.0,2229.0,2760.0,4843.0,129937.0
3,21,26730.0,8691.0,3647.0,129401.0,7754.0,3277.0,7622.0,6941.0,128679.0,7145.0,6661.0,6489.0,1830.0,3191.0,129818.0,7322.0,6674.0,3237.0,3227.0,130842.0
4,22,104757.0,8632.0,1815.0,129445.0,8394.0,5676.0,7233.0,5536.0,130075.0,5271.0,6514.0,6691.0,2217.0,1319.0,129013.0,5616.0,2508.0,3321.0,1710.0,130746.0
5,28,96114.0,25743.0,2954.0,114861.0,3607.0,3369.0,3589.0,2274.0,128167.0,395.0,3291.0,3383.0,3297.0,3170.0,1628.0,128944.0,1851.0,2229.0,1557.0,130073.0
6,27,94974.0,3803.0,3228.0,114692.0,3647.0,3407.0,3315.0,3346.0,114762.0,1443.0,3485.0,1787.0,3187.0,1158.0,123639.0,134.0,2685.0,1448.0,1319.0,129428.0
7,31,87264.0,84366.0,68690.0,5616.0,2658.0,3460.0,127449.0,2680.0,129935.0,1776.0,2229.0,1443.0,1915.0,3297.0,3383.0,126927.0,2484.0,1851.0,977.0,130746.0
8,35,89896.0,57480.0,3059.0,116138.0,3170.0,3187.0,3136.0,1577.0,119155.0,2845.0,1843.0,3119.0,2274.0,1796.0,2777.0,118888.0,814.0,1718.0,1557.0,114818.0
9,38,44777.0,2214.0,2216.0,120801.0,2274.0,1796.0,2235.0,2742.0,124348.0,1852.0,1714.0,1692.0,1467.0,560.0,128968.0,1319.0,1723.0,2309.0,115.0,130490.0
10,44,81041.0,8759.0,6397.0,129451.0,5320.0,5674.0,4648.0,3407.0,129445.0,5831.0,5261.0,3779.0,3647.0,1709.0,2229.0,129401.0,3080.0,3383.0,3297.0,130842.0
11,47,69159.0,26610.0,6767.0,129947.0,25872.0,8038.0,25787.0,25956.0,129935.0,25928.0,6491.0,3750.0,7823.0,6589.0,130784.0,5320.0,7816.0,7452.0,1781.0,128960.0
12,46,27616.0,3607.0,1524.0,129285.0,2319.0,2895.0,2213.0,3485.0,125958.0,2909.0,1723.0,2235.0,2658.0,1915.0,130069.0,1319.0,1852.0,2229.0,1705.0,117728.0
13,49,99957.0,53835.0,37287.0,1470.0,1309.0,873.0,116397.0,1145.0,118246.0,620.0,133.0,773.0,789.0,795.0,403.0,121275.0,1065.0,749.0,624.0,129397.0
14,50,114122.0,26216.0,5676.0,130784.0,25871.0,2619.0,25910.0,26337.0,128725.0,25768.0,1781.0,8707.0,2277.0,1708.0,130512.0,7823.0,26243.0,26108.0,1830.0,131080.0
15,55,37375.0,3119.0,2592.0,116887.0,2452.0,2603.0,2954.0,3136.0,117867.0,2685.0,2556.0,1692.0,826.0,2198.0,120132.0,1843.0,2934.0,3059.0,1577.0,127441.0
16,59,56093.0,47725.0,42018.0,40887.0,1311.0,1430.0,1467.0,110882.0,108583.0,642.0,400.0,644.0,1308.0,1045.0,721.0,734.0,112556.0,643.0,109.0,119141.0
17,63,98120.0,31549.0,3023.0,128952.0,2326.0,2223.0,1158.0,1109.0,127319.0,1819.0,2217.0,1122.0,1628.0,1764.0,1577.0,121231.0,134.0,143.0,2213.0,129428.0
18,65,32250.0,3293.0,1141.0,129354.0,2601.0,2698.0,1709.0,2564.0,126084.0,2235.0,1630.0,2508.0,2438.0,1765.0,129445.0,134.0,1706.0,2343.0,1578.0,128914.0
19,62,26672.0,4075.0,1742.0,130075.0,3460.0,3856.0,3455.0,2508.0,129285.0,3164.0,1705.0,2484.0,3381.0,3234.0,130580.0,2838.0,1559.0,2438.0,1706.0,129937.0
20,67,56286.0,26073.0,1898.0,1718.0,1561.0,1666.0,104944.0,1107.0,110312.0,1630.0,1558.0,1532.0,1579.0,1632.0,51.0,116823.0,286.0,758.0,449.0,110102.0
21,76,86606.0,3332.0,2229.0,127096.0,3191.0,3297.0,2838.0,1830.0,126088.0,1738.0,1577.0,2508.0,143.0,1706.0,129447.0,2595.0,1578.0,1765.0,977.0,130804.0
