tmdbid,title,revenue, yes, yes, yes
217993,Justice League: War,4
185008,Yeh Jawaani Hai Deewani,46000000
92834,Vizontele Tuuba,13954476
862,Toy Story,361958736
8844,Jumanji,262797249
31357,Waiting to Exhale,81452156
11862,Father of the Bride Part II,76578911
949,Heat,187436818
9091,Sudden Death,64350171
710,GoldenEye,352194034
9087,The American President,107879496
11381,Tommy Boy,32648673
10858,Nixon,13681765
1408,Cutthroat Island,18517322
524,Casino,116112375
5,Four Rooms,4300000
9273,Ace Ventura: When Nature Calls,212385533
11517,Money Train,35431113
8012,Get Shorty,72021008
9691,Assassins,30303072
451,Leaving Las Vegas,49800000
9263,Now and Then,27400000
902,La cité des enfants perdus,1738611
9909,Dangerous Minds,180000000
63,Twelve Monkeys,168840000
9598,Babe,254134910
687,Dead Man Walking,39363635
34615,Cry, the Beloved Country,676525
9312,Mortal Kombat,122195920
577,To Die For,21284514
807,Se7en,327311859
10530,Pocahontas,346079773
629,The Usual Suspects,23341568
11448,Mighty Aphrodite,6700000
9089,Home for the Holidays,17519169
11525,Lawnmower Man 2: Beyond Cyberspace,2409225
10634,Friday,28215918
755,From Dusk Till Dawn,25836616
11859,Fair Game,11534477
400,Things to Do in Denver When You're Dead,529766
20927,Bed of Roses,19030691
36929,Big Bully,2042530
9102,Screamers,5781885
10534,White Squall,10300000
13997,Black Sheep,32
2086,Nick of Time,8175346
12158,Vampire in Brooklyn,19800000
9208,Broken Arrow,150270147
18323,Joshua,1347988
13685,Bottle Rocket,407488
9614,Happy Gilmore,41205099
688,The Bridges of Madison County,182016617
10874,Muppet Treasure Island,34327391
197,Braveheart,210000000
103,Taxi Driver,28262574
33542,紅番區,32392047
51352,Anne Frank Remembered,1
78406,Steal Big Steal Little,6278139
11066,Boomerang,70100000
2074,Flirting with Disaster,14702438
8068,Desperado,25405445
11863,Jade,9851610
11000,The Birdcage,185260553
9737,Bad Boys,141407024
568,Apollo 13,355237933
11780,Rob Roy,31600000
414,Batman Forever,336529144
9070,Mighty Morphin Power Rangers: The Movie,66000000
5894,Blue in the Face,1275000
1775,Canadian Bacon,178104
8839,Casper,287928194
20649,Clockers,13071518
8963,Crimson Tide,157387195
26564,Crumb,3174695
8512,Devil in a Blue Dress,16030096
1572,Die Hard: With a Vengeance,361212499
18402,Something to Talk About,50892160
6520,First Knight,127600435
9886,Johnny Mnemonic,19075720
9482,Judge Dredd,113493481
19326,Jury Duty,17014653
9344,Kids,7412216
9071,Living in Oblivion,1148752
47608,Mad Love,15453274
2293,Mallrats,2
1642,The Net,110627965
11472,Nine Months,69660733
36196,Party Girl,472370
11980,The Prophecy,16
1634,Free Willy,153698625
10533,The Scarlet Letter,10
10802,Showgirls,20350754
10149,Smoke,8349430
79593,The Tie That Binds,5780000
47939,Three Wishes,7025496
36834,Total Eclipse,339889
3512,Under Siege 2 - Dark Territory,104324083
9560,A Walk in the Clouds,50008143
9804,Waterworld,264218220
50797,Utomlyonnye Solntsem,2616503
76,Before Sunrise,5535405
11017,Billy Madison,26488734
9382,Boys on the Side,23450000
2292,Clerks,3151130
1909,Don Juan DeMarco,22200000
4954,Drop zone,28735315
8467,Dumb and Dumber,247275374
10451,Yin shi nan nu,7294403
18395,Exit to Eden,6841570
522,Ed Wood,5887457
15789,A Goofy Movie,35348597
27303,Hideaway,12201255
47867,Gordy,3992809
14275,Hoop Dreams,7830611
1024,Heavenly Creatures,3049135
14819,Heavyweights,17689177
628,Interview with the Vampire,223664608
87729,Jefferson in Paris,2474000
6280,Junior,108
11,Star Wars,775398007
18183,Como agua para chocolate,21665468
4476,Legends of the Fall,160638883
28313,Losing Isaiah,7603766
3036,Frankenstein,112000000
8986,Milk Money,18137661
8438,Murder in the First,17381942
1945,Nell,106683817
713,The Piano,116700000
241,Natural Born Killers,50282766
12106,The Quick and the Dead,18552460
527,Once Were Warriors,6
6950,Outbreak,189859560
101,Léon,45284974
161495,Roommates,12400000
63020,The Perez Family,2832826
680,Pulp Fiction,213928762
41478,Panther,6834525
25296,Pushing Hands,152322
2636,The Specialist,170362582
2164,Stargate,196567262
11395,The Santa Clause,189833357
278,The Shawshank Redemption,28341469
87078,Suture,102
9067,Tank Girl,6600000
193,Star Trek: Generations,120000000
25066,Tales from the Hood,11
1587,What's Eating Gilbert Grape,30000000
2064,While You Were Sleeping,182057016
60855,Double Happiness,759393
236,Muriel's Wedding,15119639
3049,Ace Ventura: Pet Detective,107217396
10497,Bitter Moon,1862805
9331,Clear and Present Danger,215887717
9495,The Crow,94000000
29973,Cobb,1007583
888,The Flintstones,341631208
13,Forrest Gump,677945399
712,Four Weddings and a Funeral,254700832
16295,Higher Learning,38290723
48992,I Like It Like That,1777020
41647,Die Macht der Bilder: Leni Riefenstahl,449707
8587,The Lion King,788241776
1689,Little Buddha,4858139
