Similarity Votes,rating
0.0,18808458
1.0,10515038
2.0,6191233
3.0,3668048
4.0,3037850
5.0,2908621
6.0,2233011
7.0,1875378
8.0,1217181
9.0,1217394
10.0,1265572
11.0,911523
12.0,847859
13.0,814882
14.0,547456
15.0,439920
16.0,454561
17.0,587891
18.0,325854
19.0,257695
20.0,434052
21.0,363129
22.0,621576
23.0,367053
24.0,269032
25.0,255130
26.0,129641
27.0,416079
28.0,146955
29.0,181869
30.0,123684
31.0,109808
32.0,483101
33.0,261256
34.0,248985
35.0,267506
36.0,44497
37.0,163372
38.0,68657
39.0,67066
40.0,27281
41.0,107411
42.0,85866
43.0,91455
44.0,147952
45.0,59867
46.0,52780
47.0,34263
48.0,112624
49.0,13108
50.0,4525
51.0,128563
52.0,70732
53.0,85911
54.0,107509
55.0,33392
56.0,28731
57.0,56219
58.0,90593
59.0,15774
60.0,72598
61.0,60962
62.0,43162
63.0,15109
64.0,126356
65.0,5604
66.0,18493
67.0,296194
68.0,44280
69.0,57132
70.0,20959
71.0,98557
72.0,49716
73.0,186101
74.0,153331
75.0,73292
76.0,12781
77.0,17945
78.0,83711
79.0,131198
80.0,3864
81.0,68099
82.0,11818
83.0,42035
84.0,140561
85.0,38287
86.0,50767
87.0,4718
88.0,28110
89.0,9009
90.0,109934
91.0,93490
92.0,24417
93.0,2862
94.0,11470
95.0,130832
96.0,78244
97.0,30759
98.0,3830
99.0,38447
100.0,30511
101.0,28117
102.0,1758
103.0,5952
104.0,81415
105.0,1342
106.0,5623
107.0,5007
108.0,7131
109.0,10014
110.0,12703
111.0,52734
112.0,3392
113.0,28727
114.0,8141
115.0,1264
116.0,774
117.0,45448
118.0,3343
119.0,46113
120.0,5897
121.0,15065
122.0,13135
123.0,3379
124.0,703
125.0,11821
126.0,192
127.0,29288
128.0,8887
129.0,2569
130.0,8419
131.0,6112
132.0,12993
133.0,63401
134.0,2199
135.0,448
136.0,136910
137.0,25914
138.0,176
139.0,28467
140.0,273
141.0,1813
142.0,48953
143.0,1897
144.0,42099
145.0,2892
146.0,74
147.0,834
148.0,3514
149.0,1345
150.0,28143
151.0,129160
152.0,10616
153.0,31120
154.0,7005
155.0,997
156.0,304
157.0,90
158.0,18
159.0,80866
160.0,10848
161.0,101
162.0,2893
163.0,16
164.0,679
165.0,3805
166.0,2224
167.0,3938
168.0,2860
169.0,2675
171.0,2510
172.0,5337
173.0,3218
174.0,6653
175.0,297
177.0,6755
178.0,19090
179.0,202
180.0,386
181.0,285
182.0,8
183.0,23274
184.0,1099
185.0,101
186.0,5869
187.0,23
188.0,2217
189.0,21936
190.0,511
191.0,5584
192.0,766
193.0,6
194.0,91955
195.0,5674
196.0,60968
197.0,806
198.0,7641
199.0,75
200.0,47
201.0,42206
202.0,424
203.0,688
204.0,3067
205.0,791
206.0,323
207.0,3496
208.0,22
209.0,131
210.0,34761
211.0,21
212.0,12
213.0,15
214.0,93
215.0,1123
216.0,65
217.0,8966
218.0,162
219.0,309
220.0,95
221.0,7202
222.0,1254
223.0,38928
224.0,415
225.0,347
226.0,169
227.0,53
228.0,23
229.0,17
230.0,665
231.0,63
232.0,204
234.0,779
235.0,226
236.0,1268
237.0,2462
238.0,692
241.0,2306
243.0,27
245.0,84
246.0,43
248.0,2222
249.0,266
250.0,34
251.0,961
252.0,21
253.0,3975
254.0,4146
256.0,6139
257.0,1225
258.0,25322
259.0,3205
261.0,249
262.0,8
263.0,1925
264.0,1866
266.0,14
268.0,22
271.0,12
272.0,18910
275.0,4941
276.0,101348
278.0,10
280.0,41
281.0,16844
282.0,10460
283.0,42
289.0,38
290.0,494
291.0,103
292.0,13
293.0,375
294.0,799
295.0,89793
296.0,468
297.0,852
301.0,99
302.0,563
304.0,444
305.0,47730
306.0,1595
308.0,9
311.0,332
313.0,3250
314.0,2072
315.0,6
316.0,283
317.0,732
323.0,16
324.0,30
327.0,5940
332.0,2838
334.0,12
337.0,364441
338.0,28571
339.0,103896
340.0,7921
341.0,135284
342.0,10215
343.0,12431
346.0,2618
347.0,7
350.0,10220
351.0,44
352.0,92
353.0,10139
354.0,176
356.0,4446
363.0,60
364.0,433
367.0,11765
369.0,263
371.0,13
374.0,6349
377.0,26
379.0,17
380.0,17
382.0,71481
385.0,62
386.0,26
387.0,250
391.0,349
392.0,55
393.0,741
395.0,14
398.0,1577
406.0,46737
410.0,6
411.0,1616
412.0,7
413.0,18
418.0,45346
421.0,7
428.0,14
430.0,27
432.0,29
434.0,620
436.0,32
437.0,94
438.0,810
443.0,669
444.0,5069
452.0,133
458.0,23
459.0,178
462.0,152
463.0,16
468.0,242
470.0,11
471.0,1932
472.0,792
473.0,4096
474.0,993
475.0,7
481.0,77
485.0,37
487.0,34
489.0,15
496.0,9
501.0,14052
503.0,19
505.0,15
524.0,19
525.0,383
527.0,172
532.0,23
539.0,424
546.0,1163
559.0,115
565.0,1105
568.0,52
573.0,317
574.0,6707
576.0,71
581.0,13
582.0,4140
588.0,246
591.0,25
593.0,145
596.0,2657
602.0,38435
603.0,27
605.0,672
621.0,18
624.0,8
625.0,12
627.0,8
629.0,61
632.0,63
646.0,9749
648.0,7
656.0,3750
660.0,1937
664.0,156
670.0,155
672.0,139
679.0,61
680.0,5065
682.0,112
693.0,2657
697.0,19
709.0,33
716.0,9
730.0,1354
735.0,147350
754.0,26158
758.0,2947
759.0,1078
763.0,8
770.0,31
775.0,170
784.0,1491
788.0,1684
805.0,7
808.0,22
819.0,42
822.0,71
840.0,208
843.0,19706
857.0,239
863.0,297
869.0,12
884.0,177
892.0,8
909.0,118
912.0,1816
920.0,14
926.0,78
928.0,64
934.0,8532
959.0,1115
961.0,676
974.0,33814
980.0,17
984.0,159
991.0,17
993.0,155
1003.0,10
1005.0,1936
1038.0,47
1044.0,26
1084.0,29
1128.0,11
1149.0,4901
1153.0,7
1200.0,267
1209.0,462
1313.0,3019
1370.0,16678
1373.0,6
1376.0,8
1379.0,19651
1387.0,8
1410.0,97
1431.0,1642
1500.0,3943
1508.0,29021
1512.0,15390
1519.0,1662
1532.0,325
1554.0,3114
1567.0,584
1570.0,366
1594.0,9
1614.0,10
1631.0,98
1642.0,154015
1668.0,17866
1769.0,653
1965.0,103
1999.0,28
2129.0,99
2218.0,6674
2253.0,70
2523.0,7369
2617.0,51
2659.0,2337
3318.0,19
