Similarity Votes,rating
0.0,677214
1.0,810130
2.0,860327
3.0,862229
4.0,1014969
5.0,1068410
6.0,1134680
7.0,980404
8.0,942856
9.0,1056607
10.0,1146278
11.0,1135487
12.0,1217854
13.0,1228109
14.0,1037494
15.0,1170066
16.0,1328073
17.0,1235807
18.0,1188609
19.0,1291352
20.0,1607107
21.0,1428520
22.0,1043958
23.0,1328850
24.0,1138697
25.0,789568
26.0,1792161
27.0,1585991
28.0,1400371
29.0,977628
30.0,1308565
31.0,1097770
32.0,1368524
33.0,989650
34.0,885643
35.0,1222409
36.0,656615
37.0,749391
38.0,747659
39.0,1078248
40.0,725787
41.0,1428576
42.0,547439
43.0,937956
44.0,674627
45.0,908868
46.0,946830
47.0,753623
48.0,608699
49.0,739361
50.0,497260
51.0,276964
52.0,560096
53.0,174421
54.0,996705
55.0,525613
56.0,497788
57.0,673755
58.0,785504
59.0,771256
60.0,522878
61.0,511314
62.0,416637
63.0,735709
64.0,296316
65.0,391067
66.0,340844
67.0,567013
68.0,619752
69.0,473653
70.0,290266
71.0,349114
72.0,388943
73.0,281168
74.0,304613
75.0,125116
76.0,345320
77.0,87929
78.0,317772
79.0,487564
80.0,228130
81.0,227279
82.0,21003
83.0,296361
84.0,45667
85.0,187297
86.0,145523
87.0,169115
88.0,71109
89.0,110233
90.0,267793
91.0,110353
92.0,113328
93.0,253364
94.0,116
95.0,207759
96.0,60047
97.0,94
98.0,279946
99.0,41
100.0,190062
101.0,50
102.0,15
103.0,75
104.0,99284
105.0,46946
106.0,226744
107.0,37064
108.0,106
109.0,13
110.0,35
111.0,125243
112.0,39
113.0,18
114.0,130258
115.0,8847
116.0,74185
117.0,155
118.0,10375
119.0,47
120.0,28
121.0,119743
122.0,48
123.0,34
124.0,10
125.0,14
129.0,126618
130.0,19
131.0,6
133.0,10
134.0,42
135.0,8
137.0,9
140.0,31019
141.0,6
142.0,6
143.0,6
144.0,9
149.0,29
150.0,12
152.0,6
154.0,25
155.0,6
156.0,28
159.0,9
160.0,12
166.0,6
173.0,16
180.0,7
182.0,6
183.0,10
184.0,7
185.0,6
187.0,13
190.0,12
192.0,6
193.0,6
195.0,13
197.0,7
200.0,16
208.0,10
211.0,6
260.0,9
288.0,11
321.0,12
330.0,9
369.0,7
402.0,7
426.0,6
446.0,7
