,rating,revenue
0,8,361958736
1,2,327311859
2,20,346079773
3,2,23341568
4,1,25836616
5,1,210000000
6,2,336529144
7,1,110627965
8,1,5535405
9,2,0
10,1,0
11,1,0
12,2,213928762
13,1,28341469
14,1,0
15,1,0
16,3,677945399
17,1,0
18,1,0
19,2,321265768
20,5,32768670
21,30,504050219
22,6,520000000
23,2,272742922
24,10,377350553
25,1,0
26,7,0
27,1,0
28,1,0
29,20,816969268
30,3,100138851
31,2,0
32,1,0
33,1,56715371
34,1,0
35,2,138708852
36,2,165615285
37,1,356830601
38,2,90000098
39,4,538400000
40,1,389925971
41,2,131060248
42,2,13129846
43,2,572700000
44,6,46836394
45,1,104931801
46,2,47542841
47,1,78371200
48,1,44017374
49,2,5000000
50,1,90000000
51,1,474171806
52,2,240031094
53,1,70200000
54,5,280000000
55,4,229074524
56,1,0
57,7,252712101
58,2,589390539
59,1,0
60,1,87840042
61,1,264118201
62,2,314178011
63,1,0
64,1,140464664
65,2,0
66,1,0
67,25,304320254
68,1,189198313
69,1,285444603
70,1,3221152
71,1,0
72,2,354825435
73,3,332000000
74,2,244527583
75,1,84563118
76,3,30925690
77,1,0
78,2,205843612
79,1,51000000
80,1,333000000
81,4,0
82,7,27100027
83,1,7000000
84,1,229400000
85,1,0
86,1,125212904
87,2,77200000
88,10,463517383
89,2,300218018
90,2,108185706
91,1,75800000
92,2,19300000
93,2,0
94,7,0
95,2,60000000
96,2,61698899
97,4,261317921
98,1,70136369
99,2,59600000
100,1,358991681
101,6,100853753
102,1,42365581
103,1,22863596
104,1,32056467
105,6,485015179
106,1,300135367
107,1,0
108,1,9
109,1,457640427
110,3,157299717
111,1,15843608
112,2,0
113,1,7390108
114,6,169327687
115,2,39723096
116,2,433013274
117,1,0
118,7,484409218
119,1,0
120,1,207283925
121,2,235926552
122,1,141774679
123,1,84460846
124,1,84460846
125,1,0
126,2,368780809
127,2,368780809
128,1,362211740
129,1,362211740
130,1,165335153
131,1,165335153
132,3,287553595
133,3,287553595
134,2,0
135,17,0
136,16,976475550
137,16,976475550
138,1,450717150
139,1,450717150
140,5,80936232
141,5,80936232
142,31,871368364
143,31,871368364
144,1,0
145,1,31042035
146,1,31042035
147,1,0
148,1,25482931
149,1,25482931
150,10,383257136
151,10,383257136
152,1,9801375
153,1,9801375
154,6,821708551
155,6,821708551
156,2,649398328
157,2,649398328
158,1,0
159,10,214034224
160,10,214034224
161,1,441818803
162,1,441818803
163,1,169956806
164,1,169956806
165,2,119723358
166,2,119723358
167,1,0
168,1,180622424
169,1,180622424
170,2,209196298
171,2,209196298
172,1,0
173,4,876688482
174,4,876688482
175,32,926287400
176,1,13060843
177,1,0
178,2,0
179,1,17432163
180,1,177371441
181,1,135680000
182,1,0
183,3,214948780
184,3,738599701
185,6,864625978
186,1,236350661
187,5,435000000
188,23,655011224
189,1,0
190,1,0
191,1,95708457
192,1,156822020
193,9,250
194,3,424988211
195,1,79567667
196,25,1118888979
197,1,96269812
198,1,12
199,1,30411183
200,2,72000000
201,1,0
202,1,0
203,1,497409852
204,3,0
205,1,0
206,7,0
207,1,0
208,1,0
209,9,783766341
210,6,176000000
211,1,96105964
212,1,95149435
213,1,0
214,1,6347072
215,16,631442092
216,1,347451894
217,1,128905366
218,1,0
219,2,0
220,1,0
221,2,0
222,1,660537
223,1,0
224,2,0
225,4,0
226,1,0
227,11,0
228,1,0
229,1,0
230,1,0
231,1,0
232,1,0
